Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW],
7/10/2020,0,0,346,321.66,24.34,0,
7/10/2020,0,1,286,285.67,0.33,0,60
7/10/2020,0,2,291,285.67,5.33,0,-5
7/10/2020,0,3,351,284.67,66.33,0,-60
7/10/2020,1,0,286,285.67,0.33,0,65
7/10/2020,1,1,291,285.67,5.33,0,-5
7/10/2020,1,2,351,285.67,65.33,0,-60
7/10/2020,1,3,291,284.67,6.33,0,60
7/10/2020,2,0,286,285.67,0.33,0,5
7/10/2020,2,1,351,285.67,65.33,0,-65
7/10/2020,2,2,291,285.67,5.33,0,60
7/10/2020,2,3,286,284.67,1.33,0,5
7/10/2020,3,0,346,285.67,60.33,0,-60
7/10/2020,3,1,291,285.67,5.33,0,55
7/10/2020,3,2,286,285.67,0.33,0,5
7/10/2020,3,3,286,284.67,1.33,0,0
7/10/2020,4,0,286,285.67,0.33,0,0
7/10/2020,4,1,286,285.67,0.33,0,0
7/10/2020,4,2,286,285.67,0.33,0,0
7/10/2020,4,3,310.73,284.67,26.06,0,-24.73
7/10/2020,5,0,286,285.67,0.33,0,24.73
7/10/2020,5,1,286,285.67,0.33,0,0
7/10/2020,5,2,310.73,285.67,25.06,0,-24.73
7/10/2020,5,3,332.56,284.67,47.89,0,-21.83
7/10/2020,6,0,286,285.67,0.33,0,46.56
7/10/2020,6,1,310.73,285.67,25.06,0,-24.73
7/10/2020,6,2,332.56,285.67,46.89,0,-21.83
7/10/2020,6,3,328.1,284.67,43.43,0,4.46
7/10/2020,7,0,286,285.67,0.33,0,42.1
7/10/2020,7,1,332.56,285.67,46.89,0,-46.56
7/10/2020,7,2,328.1,285.67,42.43,0,4.46
7/10/2020,7,3,332.99,284.67,48.32,0,-4.89
7/10/2020,8,0,286,285.67,0.33,0,46.99
7/10/2020,8,1,328.1,285.67,42.43,0,-42.1
7/10/2020,8,2,332.99,285.67,47.32,0,-4.89
7/10/2020,8,3,369.94,284.67,85.27,0,-36.95
7/10/2020,9,0,303.92,285.67,18.25,0,66.02
7/10/2020,9,1,332.99,285.67,47.32,0,-29.07
7/10/2020,9,2,369.94,285.67,84.27,0,-36.95
7/10/2020,9,3,407.46,284.67,122.79,0,-37.52
7/10/2020,10,0,363.92,285.67,78.25,0,43.54
7/10/2020,10,1,369.94,285.67,84.27,0,-6.02
7/10/2020,10,2,407.46,285.67,121.79,0,-37.52
7/10/2020,10,3,402.78,284.67,118.11,0,4.68
7/10/2020,11,0,401.44,285.67,115.77,0,1.34
7/10/2020,11,1,407.46,285.67,121.79,0,-6.02
7/10/2020,11,2,402.78,285.67,117.11,0,4.68
7/10/2020,11,3,445.93,284.67,161.26,0,-43.15
7/10/2020,12,0,388.17,285.67,102.5,0,57.76
7/10/2020,12,1,402.78,285.67,117.11,0,-14.61
7/10/2020,12,2,445.93,285.67,160.26,0,-43.15
7/10/2020,12,3,460,284.67,175.33,0,-14.07
7/10/2020,13,0,403.77,285.67,118.1,0,56.23
7/10/2020,13,1,445.93,285.67,160.26,0,-42.16
7/10/2020,13,2,460,285.67,174.33,0,-14.07
7/10/2020,13,3,454.92,284.67,170.25,0,5.08
7/10/2020,14,0,389.14,285.67,103.47,0,65.78
7/10/2020,14,1,460,285.67,174.33,0,-70.86
7/10/2020,14,2,454.92,285.67,169.25,0,5.08
7/10/2020,14,3,460,284.67,175.33,0,-5.08
7/10/2020,15,0,367.24,285.67,81.57,0,
7/10/2020,15,1,454.92,285.67,169.25,0,-87.68
7/10/2020,15,2,460,285.67,174.33,0,-5.08
7/10/2020,15,3,458.2,284.67,173.53,0,1.8
7/10/2020,16,0,402.38,285.67,116.72,0,55.82
7/10/2020,16,1,460,285.67,174.33,0,-57.62
7/10/2020,16,2,458.2,285.67,172.53,0,1.8
7/10/2020,16,3,460,284.67,175.33,0,-1.8
7/10/2020,17,0,443.91,285.67,158.24,0,16.09
7/10/2020,17,1,458.2,285.67,172.53,0,-14.29
7/10/2020,17,2,460,285.67,174.33,0,-1.8
7/10/2020,17,3,455.25,284.67,170.58,0,4.75
7/10/2020,18,0,460,285.67,174.33,0,-4.75
7/10/2020,18,1,460,285.67,174.33,0,0
7/10/2020,18,2,455.25,285.67,169.58,0,4.75
7/10/2020,18,3,451.43,284.67,166.77,0,3.82
7/10/2020,19,0,460,285.67,174.33,0,-8.57
7/10/2020,19,1,455.25,285.67,169.58,0,4.75
7/10/2020,19,2,451.43,285.67,165.77,0,3.82
7/10/2020,19,3,450.99,284.67,166.33,0,0.44
7/10/2020,20,0,452.25,285.67,166.58,0,-1.26
7/10/2020,20,1,451.43,285.67,165.77,0,0.82
7/10/2020,20,2,450.99,285.67,165.33,0,0.44
7/10/2020,20,3,452.52,284.67,167.85,0,-1.53
7/10/2020,21,0,450.82,285.67,165.15,0,1.7
7/10/2020,21,1,450.99,285.67,165.33,0,-0.17
7/10/2020,21,2,452.52,285.67,166.85,0,-1.53
7/10/2020,21,3,452.52,284.67,0,0,0
7/10/2020,22,0,449.23,285.67,163.56,0,3.29
7/10/2020,22,1,452.52,285.67,166.85,0,-3.29
7/10/2020,22,2,452.52,285.67,0,0,0
7/10/2020,22,3,452.52,284.67,0,0,0
7/10/2020,23,0,450.56,285.67,164.9,0,1.96
7/10/2020,23,1,452.52,285.67,0,0,-1.96
7/10/2020,23,2,452.52,285.67,0,0,0
7/10/2020,23,3,452.52,284.67,0,0,0
