,Date,Hour,Horizon [hr],Thermal Power Generated [MW],Total Cost [$],Hot Tank Level [MT],Plant Heat Duty [MWth],Storage Power [MW],Plant Power [MW],HXC Duty,HXD Duty,HXC Salt Flow,HXD Salt Flow,HXC Salt T in,HXC Salt T out,HXD Salt T in,HXD Salt T out,HXD Steam T out,HXD Steam out Vfrac
0,2020-07-10,0,0,321.66,50607831.18,76000.0,676.89,1.66,320.0,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,824.74,0.0
0,2020-07-10,1,0,286.0,45786337.31,76000.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-10,2,0,286.0,47487966.65,307221.7,627.05,1.67,284.33,40.77,10.0,85.1,20.87,513.15,831.0,831.0,513.15,822.37,0.0
0,2020-07-10,3,0,346.0,53805586.51,307222.0,729.32,1.65,344.35,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,825.83,0.0
0,2020-07-10,4,0,287.67,46015569.57,307222.0,603.97,1.67,286.0,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.74,0.0
0,2020-07-10,5,0,286.0,45786337.31,307222.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-10,6,0,286.0,45786337.31,307222.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-10,7,0,286.0,45786337.31,307222.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-10,8,0,286.0,45786337.31,307222.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-10,9,0,303.92,48230148.71,307222.0,638.79,1.66,302.26,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,823.77,0.0
0,2020-07-10,10,0,363.91,56107069.61,300880.39,767.94,1.79,362.13,10.01,10.86,20.9,22.66,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,11,0,401.44,60793837.67,271268.39,848.97,2.28,399.16,10.0,13.94,20.87,29.1,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,12,0,388.17,59155946.63,250024.64,820.28,2.1,386.07,10.0,12.83,20.87,26.77,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,13,0,403.77,62879493.87,500044.61,886.09,2.25,401.52,47.03,13.76,98.17,28.72,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,14,0,389.14,63620025.3,1153640.27,899.43,1.96,387.18,98.92,11.94,206.48,24.92,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,15,0,367.24,58634819.84,1461582.6,811.24,1.77,365.48,51.7,10.72,107.91,22.37,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,16,0,402.38,60910253.17,1431365.85,851.02,2.29,400.09,10.0,14.02,20.87,29.27,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-10,17,0,443.91,65739152.57,1136247.97,938.1,7.91,436.0,10.0,49.28,20.87,102.85,513.15,831.0,831.0,513.15,817.58,0.0
0,2020-07-10,18,0,459.65,73666736.83,1153640.27,1088.34,23.65,436.0,153.53,151.22,320.46,315.62,513.15,831.0,831.0,513.15,798.01,0.0
0,2020-07-10,19,0,460.0,73414505.31,1118847.77,1084.44,24.0,436.0,148.9,153.53,310.79,320.46,513.15,831.0,831.0,513.15,797.73,0.0
0,2020-07-10,20,0,452.25,70278099.27,1046189.14,1023.41,16.25,436.0,92.99,102.66,194.1,214.29,513.15,831.0,831.0,513.15,806.28,0.0
0,2020-07-10,21,0,450.82,72654140.55,1464254.26,1069.48,14.82,436.0,148.9,93.26,310.79,194.66,513.15,831.0,831.0,513.15,807.43,0.0
0,2020-07-10,22,0,449.23,67622013.63,1143861.89,973.07,13.23,436.0,40.52,83.15,84.56,173.56,513.15,831.0,831.0,513.15,810.27,0.0
0,2020-07-10,23,0,450.56,72397290.44,1153529.35,1064.46,23.13,427.43,148.9,147.61,310.79,308.11,513.15,831.0,831.0,513.15,797.95,0.0
0,2020-07-11,0,0,434.11,71143298.44,2159065.53,1040.08,2.46,431.65,148.9,15.08,310.79,31.48,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-11,1,0,448.13,72431207.89,2706928.18,1065.12,12.13,436.0,148.9,75.99,310.79,158.61,513.15,831.0,831.0,513.15,810.74,0.0
0,2020-07-11,2,0,446.56,72063384.67,3290366.45,1057.94,10.56,436.0,143.56,65.92,299.65,137.58,513.15,831.0,831.0,513.15,812.88,0.0
0,2020-07-11,3,0,446.36,68768805.86,3335770.15,994.66,10.36,436.0,70.81,64.77,147.79,135.18,513.15,831.0,831.0,513.15,813.74,0.0
0,2020-07-11,4,0,439.63,70965846.38,2951800.31,1036.65,30.98,408.65,148.9,200.0,310.79,417.45,513.15,831.0,831.0,513.15,789.44,0.0
0,2020-07-11,5,0,411.03,63991114.91,1972389.72,906.15,31.03,380.0,69.66,200.0,145.39,417.45,513.15,831.0,831.0,513.15,787.96,0.0
0,2020-07-11,6,0,375.1,56848691.4,897065.09,780.55,24.1,351.0,10.0,153.11,20.87,319.57,513.15,831.0,831.0,513.15,792.26,0.0
0,2020-07-11,7,0,316.66,49941844.68,897065.0,666.14,1.66,315.0,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,824.48,0.0
0,2020-07-11,8,0,286.0,45786337.31,897065.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-11,9,0,286.0,45786337.31,897065.0,600.4,1.67,284.33,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-11,10,0,286.0,45786816.26,897109.58,600.41,1.67,284.33,10.01,10.0,20.88,20.87,513.15,831.0,831.0,513.15,822.62,0.0
0,2020-07-11,11,0,334.15,52257979.58,897110.0,703.77,1.66,332.49,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,825.33,0.0
0,2020-07-11,12,0,337.41,52685902.9,897110.0,710.8,1.65,335.76,10.0,10.0,20.87,20.87,513.15,831.0,831.0,513.15,825.47,0.0
0,2020-07-11,13,0,346.63,55846242.32,1182215.76,763.53,1.65,344.98,47.94,10.0,100.07,20.87,513.15,831.0,831.0,513.15,825.67,0.0
0,2020-07-11,14,0,384.29,58673762.89,1163381.29,811.91,2.05,382.24,10.0,12.51,20.87,26.1,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-11,15,0,386.77,59736250.11,1258117.2,830.4,2.06,384.71,25.17,12.56,52.54,26.22,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-11,16,0,414.38,62391210.19,1223225.23,877.34,2.45,411.93,10.4,15.04,21.71,31.4,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-11,17,0,435.76,65042876.49,1188432.75,925.32,2.74,433.01,12.27,16.9,25.6,35.27,513.15,831.0,831.0,513.15,826.1,0.0
0,2020-07-11,18,0,459.56,73378553.97,1175439.95,1083.73,23.56,436.0,148.9,150.63,310.79,314.4,513.15,831.0,831.0,513.15,798.14,0.0
0,2020-07-11,19,0,460.0,73414505.73,1140647.52,1084.44,24.0,436.0,148.9,153.53,310.79,320.46,513.15,831.0,831.0,513.15,797.73,0.0
0,2020-07-11,20,0,454.61,72969922.23,1372761.54,1075.68,18.61,436.0,148.86,117.97,310.71,246.23,513.15,831.0,831.0,513.15,803.16,0.0
0,2020-07-11,21,0,454.6,72967976.72,1605927.46,1075.64,18.6,436.0,148.9,117.87,310.79,246.02,513.15,831.0,831.0,513.15,803.17,0.0
0,2020-07-11,22,0,452.61,72803043.21,1936597.39,1072.4,16.61,436.0,148.9,104.89,310.79,218.94,513.15,831.0,831.0,513.15,805.36,0.0
0,2020-07-11,23,0,448.89,72211418.55,1945232.96,1060.82,23.16,425.74,148.9,147.75,310.79,308.39,513.15,831.0,831.0,513.15,797.8,0.0
